id	area	session	status	script	results	question
s1	11_toys_synthetic	S1	supported (synthetic)	scripts/s1_synthetic.py	results/s1_*.json	Is WDD identification just generic sparse recovery?
s1b	11_toys_synthetic	S1	retracted (replaced by s1e)	scripts/s1b_diffuse.py	results/s1b_*.json	Does diffuse cancellation reproduce the real one-shot >= OMP regime?
s1c	11_toys_synthetic	S1	retracted (replaced by s1e, s1f)	scripts/s1c_cancellers.py	results/s1c_*.json	Which canceller configurations defeat OMP?
s1d	11_toys_synthetic	S1	retracted (replaced by s1e, s1f)	scripts/s1d_reinforcers.py	results/s1d_*.json	Do reinforcing partners let OMP explain the write away?
s1e	11_toys_synthetic	S1	supported (synthetic)	scripts/s1e_partners.py	results/s1e_*.json	With appended partner atoms, which structures reproduce one-shot >= OMP?
s1f	11_toys_synthetic	S1	supported (synthetic; narrowed by e181)	scripts/s1f_majority.py	results/s1f_*.json	Does heavy reinforcement by later writers hide the original writer?
s2	11_toys_synthetic	S1	supported (v2; synthetic)	scripts/s2_layered.py	results/s2_*.json	Does cross-block sharing defeat state reading; can reconstruction certify provenance?
e00	01_method	S1	tool (gate passed)	scripts/e00_gate.py	results/e00_*.json	Does the new pipeline reproduce the paper's GPT-2 L6 numbers?
e01	01_method	S1	established	scripts/e01_layer_sweep.py	results/e01_*.json	How do FVU and identification change with depth?
e02	03_increments_depth_targets	S1	established (baseline caveat: audit)	scripts/e02_delta_wdd.py	results/e02_*.json	Is a block's write readable from its own increment?
e03	01_method	S1	established	scripts/e03_dictionary_theory.py	results/e03_*.json	Which data-free dictionary property explains the weight-vs-rotated gap?
e04	01_method	S1	established (5 models)	scripts/e04_solvers.py	results/e04_*.json	Which sparse solver identifies the dominant write best?
e05	02_readability_law	S1	established (audit: one key mislabelled)	scripts/e05_neuron_observability.py	results/e05_*.json	Is identifiability a property of the neuron or the token?
e06	05_cancellation_contraction	S1	established	scripts/e06_energy_accounting.py	results/e06_*.json	Is the state the exact sum of writes, and do writes reinforce?
e07	01_method	S1	established (exact)	scripts/e07_gauge.py	results/e07_*.json	Is WDD invariant under the gated-MLP neuron gauge?
e08	05_cancellation_contraction	S1	established (Pythia rerun after NeoX bias fix)	scripts/e08_cancellation.py	results/e08_*.json	Who cancels a dominant write, and which survival predicts identification?
